state_abbr,year,month,date,recall_count,class_I,class_II,class_III
CA,2011,5,2011-05-01,2,0,2,0
CA,2012,2,2012-02-01,2,0,2,0
CA,2012,3,2012-03-01,4,0,0,4
CA,2012,5,2012-05-01,120,71,38,11
CA,2012,6,2012-06-01,57,9,46,2
CA,2012,7,2012-07-01,132,65,64,3
CA,2012,8,2012-08-01,38,31,6,1
CA,2012,9,2012-09-01,24,23,1,0
CA,2012,10,2012-10-01,40,34,4,2
CA,2012,11,2012-11-01,9,7,1,1
CA,2012,12,2012-12-01,16,15,1,0
CA,2013,1,2013-01-01,17,2,9,6
CA,2013,2,2013-02-01,5,3,2,0
CA,2013,3,2013-03-01,16,1,13,2
CA,2013,4,2013-04-01,18,4,13,1
CA,2013,5,2013-05-01,10,5,3,2
CA,2013,6,2013-06-01,47,16,4,27
CA,2013,7,2013-07-01,12,3,8,1
CA,2013,8,2013-08-01,14,10,3,1
CA,2013,9,2013-09-01,16,5,11,0
CA,2013,10,2013-10-01,22,2,20,0
CA,2013,11,2013-11-01,57,3,54,0
CA,2013,12,2013-12-01,14,8,4,2
CA,2014,1,2014-01-01,17,9,6,2
CA,2014,2,2014-02-01,16,2,12,2
CA,2014,3,2014-03-01,60,1,59,0
CA,2014,4,2014-04-01,7,2,4,1
CA,2014,5,2014-05-01,14,7,5,2
CA,2014,6,2014-06-01,6,3,3,0
CA,2014,7,2014-07-01,67,14,53,0
CA,2014,8,2014-08-01,3,2,1,0
CA,2014,9,2014-09-01,13,7,6,0
CA,2014,10,2014-10-01,26,15,11,0
CA,2014,11,2014-11-01,13,9,4,0
CA,2014,12,2014-12-01,43,34,9,0
CA,2015,1,2015-01-01,16,12,4,0
CA,2015,2,2015-02-01,159,2,157,0
CA,2015,3,2015-03-01,36,7,29,0
CA,2015,4,2015-04-01,13,9,4,0
CA,2015,5,2015-05-01,14,1,12,1
CA,2015,6,2015-06-01,21,12,9,0
CA,2015,7,2015-07-01,14,5,9,0
CA,2015,8,2015-08-01,3,1,2,0
CA,2015,9,2015-09-01,33,30,3,0
CA,2015,10,2015-10-01,43,24,16,3
CA,2015,11,2015-11-01,7,4,0,3
CA,2015,12,2015-12-01,16,3,12,1
CA,2016,1,2016-01-01,71,55,16,0
CA,2016,2,2016-02-01,13,7,6,0
CA,2016,3,2016-03-01,22,12,8,2
CA,2016,4,2016-04-01,48,35,13,0
CA,2016,5,2016-05-01,76,56,20,0
CA,2016,6,2016-06-01,60,19,41,0
CA,2016,7,2016-07-01,26,17,9,0
CA,2016,8,2016-08-01,23,3,20,0
CA,2016,9,2016-09-01,5,4,1,0
CA,2016,10,2016-10-01,32,10,22,0
