Table name,Pathogen classification,Pathogen,Mean number of cases,Mean total cost (millions), Mean per-case cost,Note,Source
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Mycobacterium bovis,60,43.7,728333.3333,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,"Salmonella spp., nontyphoidal",1027561,17127,16667.62363,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Salmonella enterica serotype Typhi,1821,2.5,1372.872048,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Shigella spp. ,131254,1683.5,12826.27577,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Staphylococcus aureus,241148,177.8,737.3065503,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,"Streptococcus spp., Group A",11217,2.6,231.7910315,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,"Vibrio cholerae, toxigenic",84,0.1,1190.47619,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Vibrio vulnificus ,96,438.4,4566666.667,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,Vibrio parahaemolyticus,34664,76.8,2215.555043,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Cases, total cost, and per-case cost, by pathogen (2023 U.S. dollars)",Bacteria,"Vibrio spp., other",17564,102.5,5835.800501,"STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. Each pathogen is modeled individually to reflect uncertainty associated with that pathogen. Totals are modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States-unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
